MON,CSE-14,---,X,B-301,X,B-301,DAA,B-301,EE,B-301,SE,B-301,CN
TUE,CSE-14,---,X,WL-102,DAA(L),WL-102,DAA(L),B-206,DAA,B-206,EE,B-206,CN
WED,CSE-14,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-14,---,X,B-301,X,B-301,SE,B-402,CN,WL-102,CN(L),WL-102,CN(L)
FRI,CSE-14,---,X,B-304,EE,B-304,SE,---,X,---,X,---,X
SAT,CSE-14,---,X,A-LH-107,X,A-LH-107,DAA,A-LH-107,SE,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-15,B-302,CN,B-302,EE,B-302,DAA,A-DL-102,SE,A-DL-102,CN(L),A-DL-102,CN(L)
TUE,CSE-15,---,X,---,X,---,X,B-301,CN,B-301,DAA,B-301,EE
WED,CSE-15,A-LH-103,SE,A-DL-108,DAA(L),A-DL-108,DAA(L),---,X,---,X,---,X
THU,CSE-15,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-15,B-305,DAA,B-305,SE,B-305,EE,---,X,---,X,---,X
SAT,CSE-15,---,X,A-LH-203,X,A-LH-203,SE,A-LH-203,CN,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-16,---,X,B-303,CN,B-303,SE,---,X,---,X,---,X
TUE,CSE-16,---,X,---,X,---,X,B-302,EE,B-302,CN,B-302,SE
WED,CSE-16,---,X,B-206,EE,B-206,DAA,---,X,---,X,---,X
THU,CSE-16,B-206,CN,WL-102,DAA(L),WL-102,DAA(L),B-206,DAA,B-206,SE,B-206,EE
FRI,CSE-16,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-16,---,X,B-305,X,B-305,SE,B-305,DAA,WL-102,CN(L),WL-102,CN(L)
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-17,B-304,EE,B-304,SE,B-304,CN,A-DL-108,DAA,A-DL-108,CN(L),A-DL-108,CN(L)
TUE,CSE-17,---,X,B-303,X,B-303,DAA,B-303,EE,B-303,SE,B-303,CN
WED,CSE-17,B-301,SE,B-301,EE,B-301,DAA,---,X,---,X,---,X
THU,CSE-17,---,X,B-302,X,B-302,SE,---,X,---,X,---,X
FRI,CSE-17,B-301,CN,WL-102,DAA(L),WL-102,DAA(L),---,X,---,X,---,X
SAT,CSE-17,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-18,---,X,---,X,---,X,---,X,---,X,---,X
TUE,CSE-18,---,X,B-304,SE,B-304,EE,A-LH-207,DAA,WL-102,CN(L),WL-102,CN(L)
WED,CSE-18,---,X,B-302,X,B-302,CN,---,X,---,X,---,X
THU,CSE-18,---,X,B-303,X,B-303,DAA,B-301,EE,B-301,CN,B-301,SE
FRI,CSE-18,---,X,B-306,EE,B-306,SE,---,X,---,X,---,X
SAT,CSE-18,B-205,CN,WL-102,DAA(L),WL-102,DAA(L),B-205,DAA,B-205,SE,B-205,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-19,A-LH-005,CN,A-DL-002,DAA(L),A-DL-002,DAA(L),B-302,SE,B-302,EE,B-302,DAA
TUE,CSE-19,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-19,A-DL-101,EE,A-DL-101,CN(L),A-DL-101,CN(L),---,X,---,X,---,X
THU,CSE-19,---,X,B-304,X,B-304,EE,B-302,CN,B-302,DAA,B-302,SE
FRI,CSE-19,B-401,DAA,B-401,CN,B-401,SE,---,X,---,X,---,X
SAT,CSE-19,---,X,---,X,---,X,A-LH-104,SE,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-20,B-305,EE,B-305,SE,B-305,X,---,X,---,X,---,X
TUE,CSE-20,A-LH-003,SE,A-DL-002,DAA(L),A-DL-002,DAA(L),A-LH-206,CN,---,X,---,X
WED,CSE-20,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-20,B-305,SE,B-305,CN,B-305,EE,A-DL-002,DAA,A-DL-002,CN(L),A-DL-002,CN(L)
FRI,CSE-20,---,X,B-402,DAA,B-402,EE,---,X,---,X,---,X
SAT,CSE-20,---,X,B-403,X,B-403,SE,B-403,DAA,B-403,CN,B-403,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
