Roll No.,Professional Elective 1,Professional Elective 2,Core Section
22051040,DMDW_CS-34,DOS_CS-4,CSE-49
22051041,DMDW_CS-4,DOS_CS-30,CSE-24
22051042,CI_CS-11,HPC_CS-4,CSE-22
22051043,DMDW_CS-24,DOS_CS-19,CSE-29
22051044,DMDW_CS-5,DOS_CS-2,CSE-15
22051045,DMDW_CS-9,DOS_CS-14,CSE-28
22051046,DMDW_CS-32,DOS_CS-5,CSE-29
22051047,CD_CS-4,DOS_CS-31,CSE-35
22051048,DMDW_CS-9,DOS_CS-22,CSE-40
22051049,DMDW_CS-22,HPC_CS-6,CSE-01
22051050,DMDW_CS-2,DOS_CS-10,CSE-54
22051051,DMDW_CS-10,DOS_CS-7,CSE-01
22051052,CD_CS-4,DOS_CS-1,CSE-54
22051053,DMDW_CS-4,DOS_CS-32,CSE-18
22051054,DMDW_CS-9,DOS_CS-32,CSE-54
22051055,CI_CS-8,HPC_CS-16,CSE-17
22051056,DMDW_CS-34,DOS_CS-28,CSE-21
22051057,CI_CS-8,HPC_CS-16,CSE-17
22051058,DMDW_CS-5,DOS_CS-2,CSE-15
22051059,CI_CS-5,HPC_CS-3,CSE-11
2205106,DMDW_CS-3,DOS_CS-6,CSE-34
22051060,DMDW_CS-18,HPC_CS-10,CSE-30
22051061,DMDW_CS-21,DOS_CS-28,CSE-31
22051062,DMDW_CS-28,DOS_CS-30,CSE-54
22051063,CI_CS-5,DOS_CS-21,CSE-54
22051064,CD_CS-3,HPC_CS-4,CSE-43
22051065,DMDW_CS-35,DOS_CS-28,CSE-21
22051066,DMDW_CS-6,DOS_CS-2,CSE-12
22051067,DMDW_CS-17,DOS_CS-2,CSE-46
22051069,DMDW_CS-11,HPC_CS-14,CSE-41
2205107,DMDW_CS-23,DOS_CS-2,CSE-24
22051070,DMDW_CS-37,HPC_CS-1,CSE-09
22051071,CD_CS-1,HPC_CS-12,CSE-01
22051072,DMDW_CS-5,DOS_CS-15,CSE-15
22051073,CI_CS-9,HPC_CS-7,CSE-09
22051074,DMDW_CS-30,DOS_CS-27,CSE-42
22051075,CI_CS-4,HPC_CS-3,CSE-24
22051076,DMDW_CS-11,DOS_CS-14,CSE-10
22051077,CD_CS-1,DOS_CS-15,CSE-42
